title,description,location,features,data,price
2 BHK apartment in XS real Padur,"A beautiful 3 bhk apartment in Padur, Chennai South. The property is a part of XS Real Harmony. It is a resale property in a promising locality. This well-designed new property is ready to move in. It is located on the 2nd floor. The property ownership is freehold type and has a super built-up area of 1245 Sq. Ft. The price of the property is estimated at Rs. 60 Lakhs and per unit area cost is at Rs. 4820 per Sq. Ft. The price is negotiable. The apartment is 5-10 year old. The apartment has vitrified flooring. With 2 balcony(s) and 2 bathroom(s), the apartment has quality features such as club house/community center, fitness centre/gym, intercom facility, lift(s), swimming pool, park, rain water harvesting and security personne. The apartment is unfurnished. It is an east facing property and overlooks a 100 feet wide road. Gated society. Full power back up. 1 covered parking.",Kelambakkam Thiruporur Tamil Nadu India,3 Bds - 2 Ba - 1245 ft2,2020-07-13T08:35:45+0000,"₹ 60,00,000"
AMAZING 1 BHK FLATS FOR SALE IN VASAI EAST,"Sunshine Green Park floor plan is designed with effective utilization of space.  OC received. good complex good locality It offers 1 BHK studio apartment, The studio apartments are available of 410 sqftarea  Vitrified flooring is done in kitchen, living/dining and balcony. POP/gypsum plaster finished is done in exterior and interior walls. Ceramic flooring is done in kitchen and is set up with stainless steel sink.",Vasai East Mumbai Maharashtra India,1 Bds - 1 Ba - 410 ft2,2020-07-13T08:41:14+0000,"₹ 18,00,000"
2BHK MODERN NEW FLAT FOR SALES IN KEELKATALI.,"Site address:  188, Engineers avenue, 3rd main road, S. kolathur, kovilambakkam, chennai 117.       All 2bhk flats, 6 units available.  Amenities:  Car parkng, 24/7 pure water facility. cctv also available. 1 year maintanance free. Quality construction. Surrounded by houses. Decent area. Access to main road. Near by  500 mtrs to keelkatali busstand. 1 kms to Dr. kamakshi hospital. 2kms to schools ad vels arts and science college. 1 kms to theatre.    EXCLUSIVE OF EB, CCPAND RREGISTRATION. FOR MORE DETAILS CALL ME ARE CHAT OPTIONS . CHITRA FROM SRM  PROMOTERS  93458    20010",Kovilambakkam Engineers Avenue Chennai Tamil Nadu India,2 Bds - 2 Ba - 950 ft2,2020-06-17T06:57:22+0000,"₹ 52,25,000"
"3 BHK Semi Furnished Premium Villas at Gandhipath West, Vaishali Nagar","1. Wardrobes in 2 Rooms  2. Semi Modular Kitchen  3, Provision for Geyser & RO  4. Individual VDP  5. Overhead & Underground Water Tanks  6. False Ceiling in Drawing & Dining Area  7. POP Finished Walls & Ceilings  8. Glass Railing in Front Balcony  9. Laminated Flush Doors in all bedrooms & washrooms  10. Premium Quality CP Fittings  11. Premium Quality Exterior Paint  12. Adequate Natural Light & Ventilation  13. Earthquake Resistant Structure designed as per Seismic Zone II",Vaishali Nagar Jaipur Rajasthan India,3 Bds - 3 Ba - 2200 ft2,2020-06-28T07:09:03+0000,"₹ 75,00,000"
6cent 3BHK Beautiful Villa Near Smart City Kochi at Pancode,"Nandanam Builders   3BHK 2000sqft ( Super built up area)  Beautiful Villa in 6 cent land in a serene Place near Smart city Kochi, Pancode   East facing  Well water  All rooms lights and fans fittings  Branded Materials used for Kitchen cupboards, Electrical and bathroom fittings.  We arrange 80% Bank Loan with lowest registration cost.  3 car parking space.  Vasthu based plan and construction  For more details and site visit please contact Arun or  Prasanth",Kakkanad Kochi Kerala India,3 Bds - 3 Ba - 2000 ft2,2020-07-02T11:50:49+0000,"₹ 58,50,000"
For Sale: 3Bhk Flat with big Balcony in Thrikkakkara,"-1350sqft+500sqft (additional Covered balcony) -3Bhk, 2 toilets, dining, sitting room, kitchen with workarea, balcony - Allotted Car Parking - Centralized Gas supply - Swimming pool, Gym, Children's Park, Small library & TV room.  -Provision store inside the premises - Safe from floods - No water scarcity, generator backup, round the clock security, covered terrace with lot of space.  - Well organized AsAssociation who promotes social activities, conduct annual and cultural events.  Location: Holy Faith Manor, Behind Model Engineering College, Thrikkakara, Ernakulam, Kerala",Karimakkad Kochi Kerala India,3 Bds - 2 Ba - 1500 ft2,2020-07-08T04:52:29+0000,"₹ 55,00,000"
"200sqyds, east facing, G+1 open terrace price negotiable","200sqyds Independent house, East facing, vastu built, G+1 with open terrace, very friendly neighbours, peaceful and posh Colony, electricity and water supply available with water sump, near Saroor Nagar post office. 15 years old. Clear title documents. Genuine buyers only.",Bhagya Nagar Hyderabad Telangana India,4+ Bds - 3 Ba - 1800 ft2,2020-07-13T08:35:44+0000,"₹ 2,60,00,000"
4 BHK House for Sale near Kovoor.,"4 BHK House for Sale near Kovoor, Calicut. Code:SD  We Big Deals, Kerala's 1st K-RERA Certified Real-Estate Entity.  Located 200 meters from Bypass.  The house has a built-Up area of 2700 sq. Ft in 10.5 Cents land.  It is ready to move in house, having attached bathrooms.  The house has a good view of the locality.  Price Rs.1.7 CR.  For More details, Contact:  Big Deals,  3rd Floor, Emarald Mall, Mavoor Road,  Kozhikode.  Note : Images shown are for representation purpose only. Actual Building / Plot may differ.  You can get the link to call us directly by activating the chat button below.  (Call Between 9 AM-8 PM)  We arrange Bank loans from all major banks at lowest rates.",Kovoor Kozhikode Kerala India,4 Bds - 4 Ba - 2700 ft2,2020-07-13T08:35:35+0000,"₹ 1,70,00,000"
"Ready to Occupy 3 BHK for Sale SFS Tranquil in Kodimatha, Kottayam",1. India’s first Pre- Certified Gold rated Green Building  2. CRISIL DA2+ rated builder’s signature project.  3. Occupancy Certificate received  4. Zero GST  5. Best in class amenities including first and finest features.  6. First time in Kerala- Aqua Gym featured inside Infinity pool.  7. Design driven structure with 61 units and 21 unique plans  8. 6 track highway frontage (45m)  9. Top architect of India- Mr. Tony Joseph (Stapati)  10. Lower Common Area Maintenance reason being energy and water efficiency and on-site power production by solar power plant (30KVA).,Kakkanad Kochi Kerala India,3 Bds - 3 Ba - 2054 ft2,2020-07-13T08:41:07+0000,"₹ 1,20,00,000"
"Ready to Occupy 3 BHK for Sale SFS Tranquil in Kodimatha, Kottayam",1. India’s first Pre- Certified Gold rated Green Building  2. CRISIL DA2+ rated builder’s signature project.  3. Occupancy Certificate received  4. Zero GST  5. Best in class amenities including first and finest features.  6. First time in Kerala- Aqua Gym featured inside Infinity pool.  7. Design driven structure with 61 units and 21 unique plans  8. 6 track highway frontage (45m)  9. Top architect of India- Mr. Tony Joseph (Stapati)  10. Lower Common Area Maintenance reason being energy and water efficiency and on-site power production by solar power plant (30KVA).,Edappally Kochi Kerala India,3 Bds - 3 Ba - 2054 ft2,2020-07-13T08:41:07+0000,"₹ 1,20,00,000"
New house near madakkathanam,"located at Madakkathanam, Thodupuzha  9 cent property with 2500 sqft modern villa   4 Bedrooms, 4 bathrooms sitout,Guest Room,Dining Room,kitchen, store and Work Area.  Well water source.  700 meters from Thodupuzha Muvattupuzha NH  5km away from Thodupuzha.  Good Residential area Calm and quiet area for family living.  price : 7300000  for details call : 94978    10029                           : 94471    88694  Brokers Please Excuse",Anicadu Muvattupuzha Kerala India,4 Bds - 4 Ba - 2500 ft2,2020-06-17T04:34:26+0000,"₹ 73,00,000"
2 BHK Elegant Apartments at 58.77 L in Ravet Under Construction,64 Meridien Elegant Scheme of luxurious 2 & 3 BHK Apartment Scheme stratigically located on Mumbai-Bangalore Highway Beside Santosa Resort in Ravet with All Modern Amenities & Specifications with Covered Car Parking.  Call for More Details & Site Visit,Ravet Pune Maharashtra India,2 Bds - 2 Ba - 945 ft2,2020-06-19T01:16:24+0000,"₹ 58,77,000"
118 Sqyd Jda Patta 3bhk Simplex Villa For Sale at Kalwar Road Jaipur,Okay Plus Jda Scheme   118 Sqyd 3BHK Simplex Villa For Sale  1062sqfit 90B Approved 40 Fit Road  West Facing Water Facility  Damar Road Road Light  Park Temple School  Sivrage  90% Loan Facility HDFC & LIC HOUSING FINANCE  Location & Distance:- Railway Station:-  16Km. MI Road :-              17 Km. School & ATM :-   500 Mtr.,Kalwar Road Jaipur Rajasthan India,3 Bds - 2 Ba - 1062 ft2,2020-07-13T08:33:43+0000,"₹ 34,99,000"
"Sell 2BHK Flat at Lake Gardens, Near Lord's More","Prime Location at Lake Gardens 20ft Wide road,  Market and School in 100metr Connect to Lords More, Opp to South City   Mojayak Flore, 2bedroom,  2Bathroom ,  1 DiningRoom , Kitchen, and Balcony  2% bro.. applicable",Lake Garden Kolkata West Bengal India,2 Bds - 2 Ba - 650 ft2,2020-07-13T08:33:40+0000,"₹ 18,50,000"
